Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Morguard Investments Limited-Sprinkler,20-1998JD,AI,,,,,,,,,,1495.0,,,,,"HYD,SPR,WET,GLYCOL,PREACTION",365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,20-1998JD,AI,,,,,,,,,,1495.0,,,,,FA,365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,20-1998JD,AI,,,,,,,,,,1495.0,,,,,"FE,EL,FHC",365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,19-1835JP,SAI,,,,,,,,,,0.0,,,,,PREACTION,365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Route,19-1654BS,SAI,,,,,,,,,,,,,,,FLCS,"1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Sprinkler,20-1746JD,AI,,,,,,,,,,4760.0,,,,,SPR,"1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Fire Alarm,20-1746JD,AI,,,,,,,,,,4760.0,,,,,"FA,CO,EOL","1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Route,20-1746JD,AI,,,,,,,,,,4760.0,,,,,"FE,EL,FHC,FLCS","1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,AI,,,,,,,,,,,,,,,"HYD,BF,SPR,WET,GLYCOL,PREACTION",1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,AI,,,,,,,,,,,,,,,FA,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,AI,,,,,,,,,,,,,,,"FE,EL,FHC,FLCS",1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,SAI,,,,,,,,,,0.0,,,,,"EL,FLCS",1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,AI,,,,,,,,,,,,,,,"HYD,BF,WET,GLYCOL,PREACTION",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,AI,,,,,,,,,,,,,,,FA,280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,AI,,,,,,,,,,,,,,,"FE,EL,FHC,FLCS",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,SPR,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,SPR,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,SPR,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"SPR,PREACTION",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"SPR,PREACTION",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"SPR,PREACTION",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,1500.0,,,,,HYD,1220-1228 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Fire Alarm,20-1152JD,AI,,,,,,,,,,1500.0,,,,,FA,1220-1228 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,1500.0,,,,,"FE,EL",1220-1228 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,1750.0,,,,,"HYD,SPR,WET",1250-60 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,1750.0,,,,,FE,1250-60 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,1780.0,,,,,"SPR,WET",1280-90 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,1780.0,,,,,"FE,EL",1280-90 Old Innes Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,2390.0,,,,,"FP,HYD,SPR",201 Innes Park Way,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Fire Alarm,20-1152JD,AI,,,,,,,,,,2390.0,,,,,FA,201 Innes Park Way,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,2390.0,,,,,"FE,EL,FHC",201 Innes Park Way,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,1710.0,,,,,"HYD,SPR,WET",101 Innes Park Way,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,1710.0,,,,,FE,101 Innes Park Way,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,20-1435BI,AI,,,,,,,,,,1200.0,,,,,"BF,SPR,WET",1100 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,20-1435BI,AI,,,,,,,,,,1200.0,,,,,"EL,FHC",1100 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,AI,,,,,,,,,,,,,,,"FP,HYD,BF,SPR",1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,AI,,,,,,,,,,,,,,,FA,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,AI,,,,,,,,,,,,,,,"FE,EL,FHC",1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"FP,SPR",1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"FP,SPR",1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,QI,,,,,,,,,,,,,,,"FP,SPR",1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,QI,,,,,,,,,,,,,,,FA,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,QI,,,,,,,,,,,,,,,EL,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,20-1623JD,AI,,,,,,,,,,730.0,,,,,"SPR,WET",1117 Newmarket Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,19-1762JP,AI,,,,,,,,,,2820.0,,,,,"SPR,WET",1101 Prince of Wales and 955 Green Valley,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,19-1762JP,AI,,,,,,,,,,2820.0,,,,,FA,1101 Prince of Wales and 955 Green Valley,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,19-1762JP,AI,,,,,,,,,,2820.0,,,,,"FE,EL,FHC",1101 Prince of Wales and 955 Green Valley,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brookfield Properties Corporation-Sprinkler,20-2000JD,AI,,,,,,,,,,1225.0,,,,,"SPR,WET",1667 Merivale Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brookfield Properties Corporation-Sprinkler,20-2000JD,BI-MONTHLY,,,,,,,,,,0.0,,,,,"SPR,WET",1667 Merivale Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,3255.0,,,,,"SPR,WET,DRY",425 Legett Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Fire Alarm,20-1152JD,AI,,,,,,,,,,3255.0,,,,,FA,425 Legett Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,3255.0,,,,,FE,425 Legett Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,530.0,,,,,"SPR,WET",2905 Swansea Crescent/900 Ages,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,530.0,,,,,FE,2905 Swansea Crescent/900 Ages,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,530.0,,,,,"SPR,WET",2855 Swansea Crescent,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,530.0,,,,,"FE,EL",2855 Swansea Crescent,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PWGSC-Sprinkler,Tender EJ196-190631,MI/QI/SAI,,,,,,,,,,473.33,,,,,PREACTION,"280 Slater Street, CNSC, 6th Floor",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PWGSC-Route,Tender EJ196-190631,MI/QI/SAI,,,,,,,,,,473.33,,,,,FE,"280 Slater Street, CNSC, 6th Floor",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PWGSC-Sprinkler,Tender EJ196-190631,AI,,,,,,,,,,473.33,,,,,PREACTION,"280 Slater Street, CNSC, 6th Floor",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PWGSC-Route,Tender EJ196-190631,AI,,,,,,,,,,473.33,,,,,FE,"280 Slater Street, CNSC, 6th Floor",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,20-1435BI,BI,,,,,,,,,,150.0,,,,,"SPR,WET",1100 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Axia Property Management (CCC 516)-Sprinkler,20-1426MT,AI,,,,,,,,,,1050.0,,,,,"FP,SPR,WET,DRY",344 Waverley Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Axia Property Management (CCC 516)-Fire Alarm,20-1426MT,AI,,,,,,,,,,1050.0,,,,,"FA,HD,LSA",344 Waverley Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Axia Property Management (CCC 516)-Route,20-1426MT,AI,,,,,,,,,,1050.0,,,,,"FE,EL,FHC",344 Waverley Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Sprinkler,20-1867BI,AI,,,,,,,,,,1565.0,,,,,"HYD,SPR,WET",484 and 486 Hazeldean Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Fire Alarm,20-1867BI,AI,,,,,,,,,,1565.0,,,,,FA,484 and 486 Hazeldean Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Route,20-1867BI,AI,,,,,,,,,,1565.0,,,,,"FE,EL",484 and 486 Hazeldean Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,20-1709JD,AI,,,278651.0,,,,,,,0.0,,,,,"FP,SPR,WET,DRY",150 Elgin Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,SAI,,,,,,,,,,,,,,,EL,1611 Tom Roberts (Logistics Centre),,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,18-1821JP,AI,,,,,,,,,,1615.0,,,,,"BF,SPR,WET",2400 Sheffield Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,18-1821JP,AI,,,,,,,,,,1615.0,,,,,FA,2400 Sheffield Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,18-1821JP,AI,,,,,,,,,,1615.0,,,,,EL,2400 Sheffield Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,20-1000,AI,,,,,,,,,,1775.0,,,,,"FE,FHC",150 Elgin Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Sprinkler,20-1152JD,AI,,,,,,,,,,935.0,,,,,"HYD,SPR,WET",1230 Old Innes Road - RCMP AREA ONLY,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Fire Alarm,20-1152JD,AI,,,,,,,,,,935.0,,,,,FA,1230 Old Innes Road - RCMP AREA ONLY,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manulife Life Insurance Company-Route,20-1152JD,AI,,,,,,,,,,935.0,,,,,"FE,EL",1230 Old Innes Road - RCMP AREA ONLY,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BGIS c/o BGIS O&M Solutions Inc.-Route,19-1354JP,AI,,,,,,,,,,1395.0,,,,,FE,160 Elgin Street - Bell Areas Onlyfrank rheume,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BGIS c/o BGIS O&M Solutions Inc.-Route,19-1354JP,MI,,,,,,,,,,720.0,,,,,FE,160 Elgin Street - Bell Areas Only,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Route,20-1303MT,AI,,,,,,,,,,225.0,,,,,"FE,EL",295 Cooper Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Route,20-1302MT,AI,,,,,,,,,,225.0,,,,,"FE,EL",1704 Carling Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Route,19-1718JP,AI,,,,,,,,,,225.0,,,,,"FE,EL",1712 Carling Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Sprinkler,20-1017BI,AI,,,,,,,,,,2050.0,,,,,"FP,BF,WET,DRY",100 Medhurst Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Fire Alarm,20-1017BI,AI,,,,,,,,,,2050.0,,,,,FA,100 Medhurst Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Route,20-1017BI,AI,,,,,,,,,,2050.0,,,,,"FE,FHC",100 Medhurst Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Fire Alarm,20-1017BI,MI,,,,,,,,,,275.0,,,,,FA,100 Medhurst Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Carling Realty Co. Ltd.-Route,20-1017BI,MI,,,,,,,,,,275.0,,,,,"FE,FHC",100 Medhurst Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,"Mar 21, 2019",AI,,,,,,,,,,0.0,,,,,"BF,SPR,WET",1101 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,"Mar 21, 2019",AI,,,,,,,,,,0.0,,,,,"FE,EL",1101 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,"Mar 21, 2019",BI,,,,,,,,,,0.0,,,,,WET,1101 Polytek,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Canadian Forces Support Unit Ottawa-Fire Alarm,"Jan 15, 2019",AI,,,,,,,,,,300.0,,,,,FA,200 de Niverville Private,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Canadian Forces Support Unit Ottawa-Route,"Jan 15, 2019",AI,,,,,,,,,,300.0,,,,,"FE,EL",200 de Niverville Private,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Canadian Forces Support Unit Ottawa-Fire Alarm,"Jan 15, 2019",MI,,,,,,,,,,105.0,,,,,FA,200 de Niverville Private,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Canadian Forces Support Unit Ottawa-Route,"Jan 15, 2019",MI,,,,,,,,,,105.0,,,,,"FE,EL",200 de Niverville Private,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Sprinkler,19-1945BI,AI,,,,,,,,,,1500.0,,,,,"SPR,WET,STANDPIPE","2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Fire Alarm,19-1945BI,AI,,,,,,,,,,1500.0,,,,,FA,"2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Route,19-1945BI,AI,,,,,,,,,,1500.0,,,,,EL,"2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Sprinkler,19-1945BI,MI,,,,,,,,,,385.0,,,,,"BF,SPR,WET","2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Fire Alarm,19-1945BI,MI,,,,,,,,,,385.0,,,,,FA,"2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Route,19-1945BI,MI,,,,,,,,,,385.0,,,,,EL,"2685 Iris, Pinecrest Mall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matrix Logistics-Sprinkler,19-1676BI,AI,,,,,,,,,,6965.0,,,,,"FP,SPR,WET,PREACTION","1330 Optimum Drive, Cornwall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matrix Logistics-Fire Alarm,19-1676BI,AI,,,,,,,,,,6965.0,,,,,FA,"1330 Optimum Drive, Cornwall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matrix Logistics-Route,19-1676BI,AI,,,,,,,,,,6965.0,,,,,"FE,FHC","1330 Optimum Drive, Cornwall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matrix Logistics-Sprinkler,19-1676BI,QI,,,,,,,,,,2285.0,,,,,"FP,SPR,WET","1330 Optimum Drive, Cornwall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matrix Logistics-Fire Alarm,19-1676BI,QI,,,,,,,,,,2285.0,,,,,FA,"1330 Optimum Drive, Cornwall",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Sprinkler,"May 18, 2018",AI,,,,,,,,,,,,,,,"SPR,WET",500 Old St. Patrick Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Sprinkler,"May 18, 2018",QI,,,,,,,,,,0.0,,,,,"SPR,WET",500 Old St. Patrick Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Fire Alarm,Tender,AI,,,,,,,,,,0.0,,,,,FA,"28 Alexandre Tache Blvd., Gatineau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Route,Tender,AI,,,,,,,,,,0.0,,,,,"FE,EL","28 Alexandre Tache Blvd., Gatineau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Fire Alarm,Tender,MI,,,,,,,,,,0.0,,,,,FA,"28 Alexandre Tache Blvd., Gatineau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Route,Tender,MI,,,,,,,,,,0.0,,,,,"FE,EL","28 Alexandre Tache Blvd., Gatineau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Sprinkler,Tender,AI,,,,,,,,,,0.0,,,,,"WET,DRY",50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Fire Alarm,Tender,AI,,,,,,,,,,0.0,,,,,FA,50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Route,Tender,AI,,,,,,,,,,0.0,,,,,"FE,EL,FHC",50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Sprinkler,Tender,MI,,,,,,,,,,0.0,,,,,"WET,DRY",50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Fire Alarm,Tender,MI,,,,,,,,,,0.0,,,,,FA,50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Route,Tender,MI,,,,,,,,,,0.0,,,,,"FE,EL,FHC",50 Sussex Drive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
